case,status,steps,mbs,gbs,median_step_ms,mean_step_ms,samples_per_second,peak_memory_gib,final_loss
Megatron Sequential,COMPLETED,20,2,256,29363.7,29042.1,8.718,142.520,2.3856
Megatron Sonic,COMPLETED,20,2,256,24497.9,24789.6,10.450,123.861,2.38597
Megatron TE CK,COMPLETED,20,2,256,28587.4,28565.9,8.955,142.520,2.3856
FSDP Sequential,COMPLETED,20,2,256,32413.2,32701.6,7.898,161.185,2.38544
FSDP Sonic,COMPLETED,20,2,256,22356.2,22461.0,11.451,128.040,2.38495
FSDP TE CK,COMPLETED,20,2,256,22374.7,22460.6,11.442,153.012,2.38495
